City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
161,bangassou,4.7413,22.8184,294.89,76,38,0.42,CF,1702244470
162,vrangel',42.7297,133.0839,261.52,55,38,4.84,RU,1702244470
163,hualien city,23.9769,121.6044,296.41,78,42,2.1,TW,1702244471
164,kapuskasing,49.4169,-82.4331,267.2,93,100,4.12,CA,1702244312
165,nadi,-17.8,177.4167,301.15,42,40,5.66,FJ,1702244471
166,queimadas,-10.9783,-39.6264,300.83,51,5,5.62,BR,1702244472
167,dudinka,69.4058,86.1778,246.27,97,100,5.36,RU,1702244306
168,cabo san lucas,22.8909,-109.9124,302.93,56,0,3.6,MX,1702244277
169,wukari,7.85,9.7833,298.35,21,2,0.73,NG,1702244473
170,haiku-pauwela,20.9219,-156.3051,302.16,48,20,1.54,US,1702244473
171,nemuro,43.3236,145.575,271.71,53,19,4.77,JP,1702244473
172,aromashevo,56.8602,68.6375,242.04,99,97,3.56,RU,1702244474
173,yelets,52.6237,38.5017,266.67,95,100,5.1,RU,1702244474
174,kingston,17.997,-76.7936,302.68,62,40,11.83,JM,1702244196
175,walvis bay,-22.9575,14.5053,290.42,82,18,3.09,NA,1702244300
176,port lincoln,-34.7333,135.8667,289.39,96,100,6.21,AU,1702244325
177,lazaro cardenas,17.9583,-102.2,301.25,63,100,2.03,MX,1702244372
178,floro,61.5996,5.0328,278.69,70,0,2.06,NO,1702244475
179,east london,-33.0153,27.9116,290.05,78,90,2.74,ZA,1702244475
180,fort valley,32.5538,-83.8874,289.94,95,100,2.57,US,1702244476
181,kuanda,56.3161,116.0806,236.51,96,63,0.3,RU,1702244476
182,ndele,8.4109,20.6473,299.15,23,100,1.02,CF,1702244476
183,klyuchi,52.2667,79.1667,251.82,86,21,2.47,RU,1702244477
184,wattegama,6.7989,81.4808,296.28,95,99,0.94,LK,1702244477
185,blackfoot,43.1905,-112.345,275.03,80,100,1.54,US,1702244477
186,olonkinbyen,70.9221,-8.7187,268.19,56,46,2.78,SJ,1702244281
187,bestobe,52.4994,73.0975,247.53,92,99,2.77,KZ,1702244478
188,zahedan,29.4963,60.8629,279.1,39,0,2.06,IR,1702244478
189,chikwawa,-16.0335,34.8009,305.12,42,39,3.78,MW,1702244478
190,caleta de carquin,-11.0925,-77.6267,294.7,77,33,4.85,PE,1702244479
191,saint-francois,46.4154,3.9054,285.73,93,100,3.6,FR,1702244479
192,schwanewede,53.2333,8.6,280.95,78,100,1.34,DE,1702244479
193,glace bay,46.1969,-59.957,278.03,83,75,4.63,CA,1702244480
194,salekhard,66.53,66.6019,244.39,100,100,3.62,RU,1702244480
195,muan,34.9897,126.4714,286.09,88,100,4.12,KR,1702244480
196,mili,6.0815,171.735,300.94,83,78,7.19,MH,1702244481
197,daru,-9.0763,143.2092,298.93,85,100,1.25,PG,1702244481
198,aykhal,66.0,111.5,244.8,99,100,1.94,RU,1702244481
199,qurayyat,31.3318,37.3428,287.25,67,0,2.57,SA,1702244482
200,isangel,-19.55,169.2667,300.21,61,75,3.09,VU,1702244268
201,hovd,48.0056,91.6419,256.12,85,31,0.47,MN,1702244482
202,polyarnyy,69.1989,33.4478,261.35,86,97,8.25,RU,1702244483
203,saint-pierre,-21.3393,55.4781,297.97,78,0,2.06,RE,1702244483
204,rongelap,11.1635,166.8941,300.41,78,99,9.71,MH,1702244483
205,tolanaro,-25.0319,46.9987,299.19,89,20,10.8,MG,1702244300
206,zhezqazghan,47.7833,67.7667,255.02,60,24,5.27,KZ,1702244484
207,aldinga beach,-35.2793,138.4604,292.74,87,80,13.03,AU,1702244484
208,kapa'a,22.0752,-159.319,300.33,76,20,4.63,US,1702244279
